,User,Date Created,Number of Likes,Source of Tweet,Tweet,Follower Count,Date,Created
322,rajneeti_times,2023-01-05 13:31:02+00:00,0,Twitter for Android,"#RelianceIndustries рдХреЗ рдорд╛рд▓рд┐рдХ рд╢реНрд░реА рдореБрдХреЗрд╢ рдЕрдВрдмрд╛рдиреА рдореБрдВрдмрдИ рдореЗрдВ рдЙрддреНрддрд░рдкреНрд░рджреЗрд╢ рдХреЗ рдореБрдЦреНрдпрдордВрддреНрд░реА рд╢реНрд░реА @myogiadityanath рд╕реЗ рднреЗрдВрдЯ рдХреА рддрдерд╛ рдкреНрд░рджреЗрд╢ рдореЗрдВ рдЗрдирд╡реЗрд╕реНрдЯрдореЗрдВрдЯ рдХреЛ рд▓реЗрдХрд░ рдЪрд░реНрдЪрд╛ рд╣реБрдИ. 
#upglobalinvestorssummit #YogiAdityanath #MukeshAmbani https://t.co/9fEhSBjHOs",289,1/5/2023,13:31:02+00:00
323,jais_george,2023-01-05 13:30:20+00:00,0,ETRetail.com,Microsoft is now building global products in India: CEO Satya Nadella #Microsoft #Nadella #India #VirtualReality #Upi #UnitedPaymentsInterface #Metaverse #TataDigital #RelianceIndustries #Internet #MicrosoftIndia  https://t.co/UdO3z6Gxwm,752,1/5/2023,13:30:20+00:00
324,ETRetail,2023-01-05 13:30:05+00:00,1,ETRetail.com,Indian consumers in no rush for faster grocery deliveries: Survey #GroceryDelivery #QuickCommerce #Swiggy #Localcircles #Dunzo #SwiggyInstamart #Bigbasket #Reliance  https://t.co/6nhcBTF9Zg,31635,1/5/2023,13:30:05+00:00
325,UPTakOfficial,2023-01-05 13:27:31+00:00,142,Twitter Web App,"рдЙрддреНрддрд░ рдкреНрд░рджреЗрд╢ рдХреЗ рд╕реАрдПрдо рдпреЛрдЧреА рдЖрджрд┐рддреНрдпрдирд╛рде рдиреЗ рдореБрдВрдмрдИ рдХреЗ рддрд╛рдЬ рд╣реЛрдЯрд▓ рдореЗрдВ рд░рд┐рд▓рд╛рдпрдВрд╕ рдЗрдВрдбрд╕реНрдЯреНрд░реАрдЬ рдХреЗ рдЪреЗрдпрд░рдореИрди рдФрд░ рдкреНрд░рдмрдВрдзрдХ рдирд┐рджреЗрд╢рдХ рдореБрдХреЗрд╢ рдЕрдВрдмрд╛рдиреА рд╕реЗ рдХреА рдореБрд▓рд╛рдХрд╛рддред
#CMYogi #MukeshAmbani #Reliance https://t.co/D7tzpERbEZ",68645,1/5/2023,13:27:31+00:00
326,GaonkarAnkush,2023-01-05 13:20:09+00:00,0,Twitter Web App,"@chartians What about this ?
#Reliance #Nifty50 https://t.co/Np5ecBIKRw",165,1/5/2023,13:20:09+00:00
327,market_advi,2023-01-05 13:20:05+00:00,1,Twitter Web App,"ЁЯФеIncredible ЁЯШО Support And Resistance  (Reliance) #reliance 05.01.2023
After Market Levels Performance. https://t.co/lPBrP10tED",51,1/5/2023,13:20:05+00:00
328,DwivediGulshan,2023-01-05 13:03:02+00:00,21,Twitter for Android,"#Mumbai рдпреВрдкреА рдХреЗ рд╕реАрдПрдо рдпреЛрдЧреА рдЖрджрд┐рддреНрдпрдирд╛рде рд╕реЗ рдЧреБрд░реБрд╡рд╛рд░ рдХреЛ рд╣реЛрдЯрд▓ рддрд╛рдЬ рдореЗрдВ рдЙрджреНрдпреЛрдЧрдкрддрд┐ рдореБрдХреЗрд╢ рдЕрдВрдмрд╛рдиреА рдиреЗ рдХреА рдореБрд▓рд╛рдХрд╛рдд @inextlive @Dharmendra_Lko 
#GIS #RelianceIndustries #MukeshAmbani @myogiadityanath https://t.co/YuaFn9E4h7",914,1/5/2023,13:03:02+00:00
329,MashableIndia,2023-01-05 12:55:00+00:00,0,Buffer,"Mukesh Ambani Is Betting On THIS To Dominate The Next Decade With Reliance Scions 
#Reliance #MukeshAmbani #IshaAmbani #AnantAmbani #AkashAmbani #KaranAdani #Business
https://t.co/3Ouv4YUU3y",4399,1/5/2023,12:55:00+00:00
330,DaboyaPvt,2023-01-05 12:50:22+00:00,0,Twitter Web App,#NEWS #Reliance #Tata #ITC #MukeshAmbani #Ambani #Startup #DT #Independence #FMCG #Daboya #Daboyatechnologies,19,1/5/2023,12:50:22+00:00
331,reflection_RUSD,2023-01-05 12:49:06+00:00,2,Twitter Web App,"US Stock Market Recap 2022ЁЯЪА

Watch our Report of Sector-wise Yearly Returns

For More Info Join Our Reflection Communityтд╡я╕П
https://t.co/dIucDJlWeH

#Reflection #Blockchain #Cryptocurrency #Crypto #Trader #tokenizedstock #DIA #RELIANCE #BerkshireHathaway #StableCoins #trading https://t.co/ZddwujqwEU",230,1/5/2023,12:49:06+00:00
332,AbhipraGroup,2023-01-05 12:30:37+00:00,0,Abhipra Market Updates,"#RelianceIndustries $RELIANCE Daily #Stock Chart with 50 days #Fibonacci Retracement Levels
Fibonacci #Support Levels 2508.84, 2501.75, 2432.8
Fibonacci #Resistance Levels 2555.88, 2593.9, 2631.92
Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket https://t.co/CKpcKXFXQA",736,1/5/2023,12:30:37+00:00
333,middaygujarati,2023-01-05 12:19:21+00:00,0,Twitter Web App,"Reliance: ркорлБркХрлЗрк╢ ркЕркВркмрк╛ркгрлА рк╕ркВркнрк╛рк│рк╢рлЗ ркЧрлНрк░рлАрки ркПркирк░рлНркЬрлА, рк╕ркВркдрк╛ркирлЛ рккрк░ ркЕркирлНркп ркмрк┐ркЭркирлЗрк╕ркирлА ркЬрк╡рк╛ркмркжрк╛рк░рлА

#middaynews #business #BusinessMan #BusinessNews #RelianceIndustries #Reliance #MukeshAmbani #dhirubhaiambani #anantambani #akashambani #ShlokaMehta #greenenergy #ishaambani 

https://t.co/dCBPra15gU https://t.co/mJNNCbGR8E",3485,1/5/2023,12:19:21+00:00
334,bollywooddotcom,2023-01-05 12:09:13+00:00,0,Twitter for iPhone,"New House of Manoj Modi Employee of Reliance. Cost ~$175 million or INR 1500 crores, 22 floors &amp; gifted by businessman Mukesh Ambani. The Inside Story.

#ril #relianceindustries #jiomobile #jiomart #retail  https://t.co/PUkaWodxvV",21854,1/5/2023,12:09:13+00:00
335,TheSensex,2023-01-05 12:07:54+00:00,3,Twitter for iPhone,"RELIANCE ЁЯУИ

ЁЯФ╕Two trendlines making one Common Support ЁЯФе
ЁЯФ╕Near Long term Support too
ЁЯФ╕Good Bounce possible from Trendline or in Near term soon, 

Watch Closely тЬЕ

#Reliance #StockMarket #stocks #StocksToBuy #investor https://t.co/Ofu1AZXEqb",1246,1/5/2023,12:07:54+00:00
336,jais_george,2023-01-05 12:00:17+00:00,0,ETRetail.com,Cybersecurity and network engineers among most sought after job profiles in telecom in 2023 #NetworkSecurity #Healthcare #Airtel #CloudComputing #DataScientists #BhartiAirtel #VodafoneIdea #Reliance #Airtel  https://t.co/EbKF38Dw9A,752,1/5/2023,12:00:17+00:00
337,tanosiisupi_bot,2023-01-05 12:00:11+00:00,3,twittbot.net,"I trust the guidance of Soul.
I flow down the river of Life.

щнВуБох░ОуБНуВТф┐бща╝
ф║║чФЯуБох╖ЭуВТц╡БуВМф╕ЛуБгуБжуВЖуБП

Now is all.

ф╗КуБМч╖ПуБж
#GoingDownstream #reliance #Soul #NowIsAll
https://t.co/PkzxSOY1s0",5321,1/5/2023,12:00:11+00:00
338,sakshinews,2023-01-05 11:57:05+00:00,1,Twitter Web App,"р░░р░┐р░▓р░пр░ир▒Нр░╕р▒НтАМ р░Хр░┐р░Яр▒Нр░Яр▒Ар░▓р▒Л р░╕р▒Лр░╕р▒Нр░пр▒Л р░бр▒Нр░░р░┐р░Вр░Хр▒НтАМ
https://t.co/VawIy1Upv3
#Reliance #RelianceIndustries #BusinessNews",176107,1/5/2023,11:57:05+00:00
339,govindjobs,2023-01-05 11:48:43+00:00,0,Twitter for Android,"ЁЯФ┤Reliance Jewels is Hiring
ЁЯСЙApply Here =&gt; https://t.co/BxBidvbAyP
ЁЯСЙTelegram Link =&gt; https://t.co/g3ZAVW7zb0

#Reliance #jewels #hiring https://t.co/NewlTx7IYx",16243,1/5/2023,11:48:43+00:00
340,Spy9rock,2023-01-05 11:42:07+00:00,0,Twitter for Android,"Bloomberg: Mukesh Ambani Drives $75 Billion Reliance Green Bet With Children Heading Units. #reliance 
https://t.co/33I6hoz5jT

via @GoogleNews",350,1/5/2023,11:42:07+00:00
341,Oneindia,2023-01-05 11:40:31+00:00,0,Twitter Web App,"Unknown Facts About Mukesh Ambani's 15,000 Crores Antilia !!
#MukeshAmbani #Reliance #antilia #mumbai 

https://t.co/NiiHIeyBmQ",66904,1/5/2023,11:40:31+00:00
342,SwyomCapital,2023-01-05 11:39:07+00:00,1,Twitter Web App,"Here is a list of the top tax-paying companies in India in the fiscal year 2022. (FY22).

#swyomcapital #wealthmanagement #money #income #hasslefree #highesttaxpayingcompanies #reliance #equity #growth #financialservices #taxpayers #infosys #icici #tatasteel #TCS #financeadvisor",52,1/5/2023,11:39:07+00:00
343,dellyranksindia,2023-01-05 11:33:57+00:00,1,FS POSTER - Twitter App,"Jio signs deal with Manchester City to become mobile communications network partner in India #akashambani #city #Jio #JioPlatformsLimited #jioengage #mancity #Reliance #reliancejioinfocommlimited #rise #RISEWorldwide https://t.co/Rf23YGKmNT
https://t.co/8rmMx9QlHA",420,1/5/2023,11:33:57+00:00
344,finastrocycles,2023-01-05 11:31:05+00:00,7,Twitter Web App,"#Nifty #Banknifty in January 2023 #Reliance #HDFCBANK #GANN #financialastrology  #stockmarketindia #astrologyforstocks 

https://t.co/WeoQxpRNsw via @YouTube",7216,1/5/2023,11:31:05+00:00
345,bqprime,2023-01-05 11:15:30+00:00,3,TweetDeck,"#RelianceIndustries' Chairman #MukeshAmbani will be focusing his attention on the Indian conglomerateтАЩs pivot to green energy.

https://t.co/72HJxmJFs9",295178,1/5/2023,11:15:30+00:00
346,digital_prizm,2023-01-05 11:15:01+00:00,0,Cloud Campaign,"To support the 17th Edition of the Pravasi Bharatiya Divas and Global Investors Summit to be held in Indore in January 2023, Reliance Jio confirms the launch of True 5G in Indore and Bhopal. 

#5gIndia #5gnetwork #reliance #reliancejio #mukeshambani #reliancedigital #indianews https://t.co/pV6AWCgcOd",3,1/5/2023,11:15:01+00:00
347,GajjalaNaveen99,2023-01-05 11:12:05+00:00,5,Twitter for Android,"One of the fake and worst company @RelianceDigital shows insta delivery but still not received Dear @JioCare @reliancejio please cancel my order and refund immediately ?

Order ID : RDF46065492 

#FakeReliance #FakeCompany #jio #Reliance #india",90,1/5/2023,11:12:05+00:00
348,Bigul_trading,2023-01-05 10:50:56+00:00,1,Twitter Web App,"Evening Market Set Up:
#Nifty ended below the psychological mark of 18000 in todayтАЩs trade led by selling in a few index heavyweights like #Bajaj twins and #HDFC twins followed by other stocks like #Reliance. 
Bajaj Finance #NiftyBank #BajajFinance",124,1/5/2023,10:50:56+00:00
349,bqprime,2023-01-05 10:45:30+00:00,1,TweetDeck,"From complex asset pooling and low-ball offers to a rather fashionable e-auction, everything has been tried in this insolvency. #Reliance 

Read @Vishwanath4389's report.

https://t.co/JYfJ0HzBJe",295178,1/5/2023,10:45:30+00:00
350,EagleEyeReview,2023-01-05 10:25:07+00:00,0,EagleEyeStock,"Tchinical Analisys Update #05Jan2023 13:01
Stock : #RELIANCE
30 Min RSI :31.87
30 Min RSI Comment :Weak with Negative Bais
30 Min Histogram :-0.5 Bearish
#investing #nifty #nifty50 #StockMarcket #business #finance #Financial #invest #stocks #technical #analisys",1095,1/5/2023,10:25:07+00:00
351,jais_george,2023-01-05 10:00:14+00:00,0,ETRetail.com,"India is showing intense tech usage, Microsoft investments significant: Satya Nadella #MicrosoftSatyaNadella #SatyaNadella #India #Microsoft #Tatas #StateBankOfIndia #SencoGold #Reliance #StateBankOfIndia #Reliance  https://t.co/Rd9J0Nc2R5",752,1/5/2023,10:00:14+00:00
352,marketwmakwana,2023-01-05 09:58:17+00:00,0,Twitter for Android,"#Reliance day high of 2536 #CMP 2521

Happy Trading

#MWM
#StockMarket 
#NSE
#Analysis
#FnO",25,1/5/2023,09:58:17+00:00
353,YashasInfinite,2023-01-05 09:55:33+00:00,1,Twitter Web App,"#JIO LAUNCHES TRUE #5G IN #Odisha 

Source: #NSE  #BSE  
#stockmarket #investing 
#RELIANCE https://t.co/41P5hEaldU",719,1/5/2023,09:55:33+00:00
354,rangchherajkot,2023-01-05 09:43:14+00:00,0,Twitter Web App,"рк░рк┐рк▓рк╛ркпркирлНрк╕ркирлА ркорлЛркЯрлА ркЬрк╛рк╣рлЗрк░рк╛ркд: 

ркЧрлБркЬрк░рк╛ркдркирлА 100 рк╡рк░рлНрк╖ ркЬрлВркирлА рк╕рлЛрклркЯркбрлНрк░рлАркВркХ ркмрлНрк░рк╛ркирлНркб тАШрк╕рлЛрк╕рк┐ркпрлЛтАЩркорк╛ркВ рк░рк┐рк▓рк╛ркпркирлНрк╕ 50 ркЯркХрк╛ рк╣рк┐рк╕рлНрк╕рлЛ ркЦрк░рлАркжрк╢рлЗ.

#rajkot #rcr #rangchherajkot #update #reliance #bignews #softdrink #sosyo #rcrnews #joinme #rcr https://t.co/v9lT95XNHr",208,1/5/2023,09:43:14+00:00
355,Divyeshbtc,2023-01-05 09:42:34+00:00,1,Twitter for Android,"рдЖрдкрдХреЛ рдХреНрдпреЛ рд▓рдЧрддрд╛ рд╣реИ 12 year рдХреА рдХрд░реЗрдХреНрд╢рди (2008-2020) рд╕рд┐рд░реНрдл 1.5 year рдХреА рдЫреЛрдЯреА рд╕реА рд░реИрд▓реА рд╕реЗ рдЦрддреНрдо рд╣реЛ рдЬрд╛рдПрдЧреА

#nifty #sensex #indianmarket #india #reliance",1,1/5/2023,09:42:34+00:00
356,jschanan,2023-01-05 09:39:25+00:00,1,Twitter Web App,"#Reliance ЁЯЗоЁЯЗ│ on the #NSE #Block of 29,985 shares at Rs. 2512.00 worth 7.53 crore rupees at 3:04 PM #blockdeal #intraday #trade

#Sundram ЁЯЗоЁЯЗ│ on the #NSE #Block of 102,348 shares at Rs. 1005.00 worth 10.29 crore rupees at 3:02 PM",2623,1/5/2023,09:39:25+00:00
357,AnalystShafi,2023-01-05 09:39:18+00:00,2,Twitter Web App,"#Lupin 750 CE

Observe the #PriceAction in the chart...

 #ChartAnatomy
 #reliance #BREAKOUTSTOCKS #stockmarketcrash #StocksToBuy #StockMarket #AdaniEnt #BankNifty #StockMarketindia #niftyit #yesbank https://t.co/W1589KiAPu",659,1/5/2023,09:39:18+00:00
358,My_JioMart,2023-01-05 09:30:52+00:00,0,Twitter Web App,"#IndiaтАЩs small and medium #businesses (SMBs) is set to get boost with the #Facebook and #Reliance deal Facebook announced to invest Rs 43,574 crore into #JioMart #jio 

Facebook and Reliance Deal to push JioMart through WhatsApp https://t.co/BfmIrCRnii",47,1/5/2023,09:30:52+00:00
359,brijesh33011,2023-01-05 09:30:33+00:00,1,Twitter for Android,"T9 Banknifty Future Buy 42718
#StocksInFocus 
#StockMarket #StocksToBuy #TradingView #Banknifty #Nifty50 #finnifty #Breakout #SharkTankIndiaS2 #HappyNewYear #reliance #BajajFinance #bajajfinserv #hdfcbank #GOLD #sensex #adani https://t.co/vbs3TRYpZh",8,1/5/2023,09:30:33+00:00
360,AbhipraGroup,2023-01-05 09:25:26+00:00,0,Abhipra Market Updates,"#OptionChain - #RELIANCE
#Stock #Bearish
#PCR :0.51
Max #CA buildup at 2500,windup at 2600 #PE buildup at 2400 windup at 2480
High #OI CA at 2600,2700,2800 PE at 2600,2500,2400
Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket https://t.co/0Fzjl9Pncf",736,1/5/2023,09:25:26+00:00
361,equitybulls,2023-01-05 09:20:13+00:00,1,EquityBulls,"Jio launches True 5G in Odisha

#RelianceIndustries #INE002A01018 #Jio #True5GServices #Odisha 

https://t.co/alcOk2HtxE https://t.co/Hh9Lwk9119",29166,1/5/2023,09:20:13+00:00
362,AnalystShafi,2023-01-05 09:19:31+00:00,1,Twitter Web App,"#Lupin 750 CE
16.25-16.80

""Can b Carry Forwarded""

 #ChartAnatomy #reliance #BREAKOUTSTOCKS #stockmarketcrash #StocksToBuy #StockMarket #AdaniEnt #BankNifty #StockMarketindia #niftyit #yesbank",659,1/5/2023,09:19:31+00:00
363,reflection_RUSD,2023-01-05 09:09:43+00:00,3,Twitter Web App,"MARKETS MAY FLUCTUATE
BUT INVESTING CONSISTENTLY IS ALWAYS GREAT

#INVEST, &amp; RELAX WITH YOUR #INVESTING

JOIN US NOWтд╡я╕П
https://t.co/dIucDJlWeH

#Reflection #Blockchain #Cryptocurrency #Crypto #Trader #tokenizedstock #DIA #RELIANCE #BerkshireHathaway #Exxon #StableCoins #trading https://t.co/ounyUxvmSe",230,1/5/2023,09:09:43+00:00
364,RUDRA_ANSH_SHIV,2023-01-05 08:55:51+00:00,2,Twitter for Android,"#reliance

Time for bulls jo join party https://t.co/jv1mIfdw7L",698,1/5/2023,08:55:51+00:00
365,AlgoBoffin,2023-01-05 08:53:18+00:00,76,Twitter for Android,"Noticed in last few years, in Most Casino Days #Reliance play major role to fuck #Retailers Derivatives Traders https://t.co/8n10FklcHX",29562,1/5/2023,08:53:18+00:00
366,GoodreturnsTa,2023-01-05 08:53:13+00:00,0,Goodreturns Tamil,Mukesh Ambani: рокроЪроЩрпНроХро│ро╛.. роЗройро┐ роЕрокрпНрокро╛ро╡рпЛроЯ роЯро╛ро░рпНроХрпЖроЯрпН 'роЗродрпБ'родро╛ройрпН.. роОройрпНрой роЯро┐ро╕рпНроЯро░рпНрокрпН рокрогрпНрогро╛родрпАроЩрпНроХ..!  #reliance #mukeshambani #ро░ро┐ро▓рпИропройрпНро╕рпН #роорпБроХрпЗро╖рпНроЕроорпНрокро╛ройро┐ https://t.co/CpnmRTnbvb,6363,1/5/2023,08:53:13+00:00
367,AbhipraGroup,2023-01-05 08:45:00+00:00,0,Abhipra Market Updates,"#RelianceIndustries $RELIANCE Daily #Stock Chart with 20 days #Fibonacci Retracement Levels
Fibonacci #Support Levels 2492.25, 2388.58
Fibonacci #Resistance Levels 2528.15, 2531.84, 2556.33
Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket https://t.co/0h8u84bhuc",736,1/5/2023,08:45:00+00:00
368,mintgenieapp,2023-01-05 08:40:58+00:00,0,Twitter Web App,"UBS has maintained its ""buy"" rating on #RelianceIndustries with an unchanged target price of тВ╣3,250 apiece, which represents a potential upside of 29% from the stock's previous closing price.

#stockmarket #Stockpicks #investing 

https://t.co/1V5aJUm4TT",623,1/5/2023,08:40:58+00:00
369,HHCAPITALS,2023-01-05 08:32:37+00:00,0,Twitter Web App,"Trailing SL triggered in Reliance at 2512.25
Monthly intraday P&amp;L: -0.05% [ without leverage ]
Follow ups of our Intraday Trades are available first at https://t.co/YppXZvyhOT
#reliance #nifty #intraday",912,1/5/2023,08:32:37+00:00
370,AbhipraGroup,2023-01-05 08:28:30+00:00,0,Abhipra Market Updates,"#RelianceIndustries $RELIANCE Last 6 months Daily #StockMovement Line #Chart
Max downward movement was -3.3%
Max upward movement was 3.44%
Stock majorly moved between -1.35% and 1.32%
Open account at https://t.co/giz54B9qdU and start #investing in #StockMarket #NSE #BSE https://t.co/icK3QO7EWA",736,1/5/2023,08:28:30+00:00
371,CMSaab0761,2023-01-05 08:24:20+00:00,0,Twitter Web App,"рднреБрд╡рдиреЗрд╢реНрд╡рд░-рдХрдЯрдХ рдмрдиреЗ 5G, рдЕрд╢реНрд╡рд┐рдиреА рд╡реИрд╖реНрдгрд╡ рдФрд░ рд╢рд┐рдХреНрд╖рд╛ рдордВрддреНрд░реА рдзрд░реНрдореЗрдВрджреНрд░ рдкреНрд░рдзрд╛рди рдиреЗ рдЙрдбрд╝реАрд╕рд╛ рдореЗрдВ рд▓реЙрдиреНрдЪ рдХреА #Jio рдХреА 5G рд╕реЗрд╡рд╛рдПрдВ
#AshwiniVaishnaw #DharmendraPradhan #MukeshAmbani #RelianceIndustries #Odisha https://t.co/cNkJV5IKpq",90,1/5/2023,08:24:20+00:00
372,krishnakhanna,2023-01-05 08:18:45+00:00,0,kkonline Content Updates,"Alert Sell #RELIANCE CMP: 2507.85 #NimblrTA 

Alerts are delayed and for educational purpose only.
For live alerts and screener use tools at https://t.co/KXTzCDDkXv 
Join on Telegram: https://t.co/cOyLHLAE69 https://t.co/TxMoiYQGm0",12685,1/5/2023,08:18:45+00:00
373,HHCAPITALS,2023-01-05 08:17:18+00:00,0,Twitter Web App,"Time to lock the profits. Move SL to 2512.25
#reliance",912,1/5/2023,08:17:18+00:00
374,HHCAPITALS,2023-01-05 07:52:52+00:00,0,Twitter Web App,"Move SL to 2517. Nothing at stake on this trade now.
#RELIANCE",912,1/5/2023,07:52:52+00:00
375,market_announce,2023-01-05 07:50:45+00:00,0,Twitter for Ububtu,"RELIANCE ЁЯУв

#RELIANCE - Company update
https://t.co/Ydl9sHtsk2

#investing https://t.co/vvFkkKDeet",4161,1/5/2023,07:50:45+00:00
